chembl_id	pref_name	max_phase	first_approval	molecule_type	oral	parenteral	topical	natural_product	prodrug	inorganic	polymer	veterinary	withdrawn	canonical_smiles	inchi_key	mw	alogp	hba	hbd	psa	rtb	ro5_viol	qed	heavy_atoms	aromatic_rings	smiles_clean	herg
CHEMBL1000	CETIRIZINE	4	1995	Small molecule	1	1	1	1	0			0		O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1			3.15	4	1	53.01	8			27	2	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	ok
CHEMBL100116	PENTAZOCINE	4	1967	Small molecule	1	1	0	1	0			0		CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C			3.88	2	1	23.47	2			21	1	CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C	ok
CHEMBL1002	LEVOSALBUTAMOL	4	1999	Small molecule	0	0	1	1	0			0		CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1			1.31	4	4	72.72	4			17	1	CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1	ok
CHEMBL100259	URIDINE	3		Small molecule	0	0	0	1	0			0		O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1			-2.85	7	4	124.78	2			17	1	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1	ok
CHEMBL1003	CLAVULANATE POTASSIUM	4	1984	Small molecule	1	1	0	1	0			0		O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+]			-1.1	4	2	87.07	2			14	0	O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21	ok
CHEMBL1004	DOXYLAMINE	4	1948	Small molecule	1	0	0	1	0			0		CN(C)CCOC(C)(c1ccccc1)c1ccccn1			2.92	3	0	25.36	6			20	2	CN(C)CCOC(C)(c1ccccc1)c1ccccn1	ok
CHEMBL1005	REMIFENTANIL	4	1996	Small molecule	0	1	0	1	0			0		CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1			2	6	0	76.15	7			27	1	CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1	ok
CHEMBL1006	AMIFOSTINE	4	1995	Small molecule	0	1	0	1	1			0		NCCCNCCSP(=O)(O)O			-0.25	4	4	95.58	7			12	0	NCCCNCCSP(=O)(O)O	ok
CHEMBL1008	BEPRIDIL	4	1990	Small molecule	1	0	0	1	0			0		CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1			4.83	3	0	15.71	10			27	2	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	RISK
CHEMBL1009	LEVODOPA	4	1970	Small molecule	1	0	1	1	1			0		N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O			0.05	4	4	103.78	3			14	1	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O	ok
CHEMBL101	PHENYLBUTAZONE	4	1980	Small molecule	1	0	0	1	0			0		CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O			3.79	2	0	40.62	5			23	2	CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O	ok
CHEMBL1010	CEFOTAXIME SODIUM	4	1981	Small molecule	0	1	0	1	0			0		CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+]			-0.62	11	3	173.51	7			30	1	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1	ok
CHEMBL101253	VATALANIB	3		Small molecule	0	0	0	1	0			0		Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1			5.01	4	1	50.7	4			25	4	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	ok
